lat,lon,value
47.6739881,-122.121512,1
47.6101497,-122.2015159,1
26.1224386,-80.1373174,1
37.4418834,-122.1430195,1
40.7127837,-74.0059413,1
47.5301011,-122.0326191,1
37.36883,-122.0363496,1
37.3860517,-122.0838511,1
39.5296329,-119.8138027,1
33.6839473,-117.7946942,1
27.4989278,-82.5748194,1
37.7749295,-122.4194155,1
41.8781136,-87.6297982,1
44.8896866,-93.3499489,1
27.950575,-82.4571776,1
38.9949153,-77.0772052,1
34.0753762,-84.2940899,1
26.3683064,-80.1289321,1
40.5575986,-74.2846022,1
42.4603719,-71.3489484,1
47.6062095,-122.3320708,1
28.0780718,-82.7637127,1
42.3736158,-71.1097335,1
38.9586307,-77.3570028,1
42.5047161,-71.1956205,1
43.0730517,-89.4012302,1
40.8206555,-74.2937594,1
30.267153,-97.7430608,1
32.8140177,-96.9488945,1
40.4862157,-74.4518188,1
40.744679,-73.9485424,1
42.4250964,-71.066163,1
35.2270869,-80.8431267,1
42.3764852,-71.2356113,1
32.7766642,-96.7969879,1
33.4255104,-111.9400054,1
38.9695545,-77.3860976,1
39.9567548,-86.01335,1
29.7604267,-95.3698028,1
41.8089191,-88.0111746,1
36.3728538,-94.2088172,1
28.3164498,-80.7269854,1
46.8771863,-96.7898034,1
40.5187154,-74.4120953,1
40.6781784,-73.9441579,1
40.7895453,-74.0565298,1
35.9250637,-86.8688899,1
40.554887,-74.4642861,1
33.1506744,-96.8236116,1
44.977753,-93.2650108,1
35.5848596,-80.8100724,1
34.0232431,-84.3615555,1
40.5753817,-74.3223703,1
37.5482697,-121.9885719,1
25.790654,-80.1300455,1
40.8270448,-73.975694,1
42.4311464,-83.4832692,1
43.6187102,-116.2146068,1
26.1003654,-80.3997748,1
33.3061605,-111.8412502,1
32.715738,-117.1610838,1
33.3528264,-111.789027,1
40.4406248,-79.9958864,1
42.3782065,-71.0602131,1
40.7281575,-74.0776417,1
41.6612104,-72.7795419,1
34.0522342,-118.2436849,1
40.8712101,-74.7340523,1
35.823483,-78.8255621,1
29.4241219,-98.4936282,1
47.4828776,-122.2170661,1
40.3916172,-111.8507662,1
47.6768927,-122.2059833,1
36.1699412,-115.1398296,1
29.7057858,-95.4588299,1
33.5676842,-117.7256083,1
35.9940329,-78.898619,1
28.5383355,-81.3792365,1
35.7795897,-78.6381787,1
42.3600825,-71.0588801,1
42.990831,-89.5331773,1
39.0437567,-77.4874416,1
33.0198431,-96.6988856,1
45.2998418,-122.7737062,1
47.6162683,-122.0355736,1
33.8169599,-118.0372852,1
40.5792701,-74.4115401,1
40.8256536,-73.2026138,1
44.9537029,-93.0899578,1
40.0149856,-105.2705456,1
39.7392358,-104.990251,1
38.9071923,-77.0368707,1
25.7616798,-80.1917902,1
34.0194543,-118.4911912,1
40.3284402,-74.790718,1
39.768403,-86.158068,1
44.8832982,-93.2830021,1
36.1626638,-86.7816016,1
42.4906231,-71.2760089,1
38.6608855,-90.422618,1
42.3459271,-71.5522874,1
38.9822282,-94.6707917,1
40.5695474,-74.6329363,1
40.6342489,-74.5004796,1
42.2959267,-71.7128471,1
33.1972465,-96.6397822,1
37.3382082,-121.8863286,1
40.7325997,-73.4454009,1
39.9611755,-82.9987942,1
33.8358492,-118.3406288,1
42.4184296,-71.1061639,1
37.9100783,-122.0651819,1
38.5815719,-121.4943996,1
40.0362184,-75.5138118,1
34.4208305,-119.6981901,1
40.4842027,-88.9936873,1
37.2638324,-122.0230146,1
42.4733688,-83.2218731,1
39.4195499,-76.7802528,1
43.16103,-77.6109219,1
47.3809335,-122.2348431,1
40.8223168,-74.1598725,1
40.3892726,-74.7618284,1
42.2695216,-71.6161294,1
40.718106,-73.8448469,1
37.6688205,-122.0807964,1
40.336419,-74.4330474,1
39.6477653,-104.9877597,1
44.8546856,-93.470786,1
45.0105194,-93.4555093,1
44.840798,-93.2982799,1
41.0886216,-74.1435843,1
43.0605671,-88.1064787,1
38.5434594,-121.2783728,1
30.5082551,-97.678896,1
44.9917149,-93.3600034,1
40.0792766,-75.3015714,1
40.5106322,-74.6472522,1
33.7455731,-117.8678338,1
33.5225261,-117.7075526,1
33.6411316,-117.9186689,1
41.117744,-73.4081575,1
40.7062128,-73.6187397,1
39.1511692,-76.9230507,1
39.3326927,-76.7595659,1
39.2903848,-76.6121893,1
37.7799273,-121.9780153,1
40.572603,-74.4926541,1
33.9304352,-84.3733147,1
41.2523634,-95.9979883,1
37.3541079,-121.9552356,1
34.0007104,-81.0348144,1
42.6875323,-83.2341028,1
32.8328112,-117.2712717,1
41.0339862,-73.7629097,1
32.9341893,-97.229298,1
40.7830603,-73.9712488,1
47.5287132,-121.8253906,1
