POSITION,TOTAL
PROGRAMMER ANALYST,238080
SOFTWARE ENGINEER,114705
COMPUTER PROGRAMMER,66911
SYSTEMS ANALYST,59320
SOFTWARE DEVELOPER,40455
BUSINESS ANALYST,37655
COMPUTER SYSTEMS ANALYST,33053
TECHNOLOGY LEAD,28294
TECHNOLOGY ANALYST,25993
SENIOR SOFTWARE ENGINEER,25408
ASSISTANT PROFESSOR,23819
SENIOR CONSULTANT,23574
CONSULTANT,22215
PHYSICAL THERAPIST,18649
PROJECT MANAGER,18324
DATABASE ADMINISTRATOR,15716
RESEARCH ASSOCIATE,12826
COMPUTER PROGRAMMER ANALYST,12708
DEVELOPER,12618
ASSOCIATE,11896
